Id конкурса;Обр. программы;Комментарий к конкурсу;Код НПС/УГСН;НПС/УГСН
22212;8200 - Математика и компьютерные науки;26\5001\1 ГБ очн Математика и компьютерные науки, ОсК;1.02.03.01;мм
22213;8200 - Математика и компьютерные науки;26\5001\1 ГБ очн Математика и компьютерные науки, Б;1.02.03.01;мм
22214;8200 - Математика и компьютерные науки;26\5001\1 ИН ДОГ очн Математика и компьютерные науки, ДОГ;1.02.03.01;мм
22215;8203 - Программирование и информационные технологии;26\5003\1 ГБ очн Программирование и информационные технологии, ОтК;1.02.03.02;пмпу
22216;8200 - Математика и компьютерные науки;26\5001\1 ГБ очн Математика и компьютерные науки, ОтК;1.02.03.01;мм
22217;8200 - Математика и компьютерные науки;26\5001\1 ДОГ очн Математика и компьютерные науки, ДОГ;1.02.03.01;мм
22218;8203 - Программирование и информационные технологии;26\5003\1 ГБ очн Программирование и информационные технологии, Б;1.02.03.02;пмпу
22219;8203 - Программирование и информационные технологии;26\5003\1 ГБ очн Программирование и информационные технологии, ОсК;1.02.03.02;пмпу
22220;8208 - Астрономия;26\5012\1 ГБ очн Астрономия, Б;1.03.05.01;мм
22221;8203 - Программирование и информационные технологии;26\5003\1 ИН ДОГ очн Программирование и информационные технологии, ДОГ;1.02.03.02;пмпу
22222;8214 - Картография и геоинформатика;26\5020\1 ГБ очн Картография и геоинформатика, ОсК;1.05.03.03;иноз
22223;8231 - Психология;26\5028\1 ГБ очн Психология, ОтК;5.37.03.01;психфак
22224;8219 - Почвоведение;26\5022\1 ГБ очн Почвоведение, ОтК;1.06.03.02;иноз
22225;8214 - Картография и геоинформатика;26\5020\1 ГБ очн Картография и геоинформатика, Б;1.05.03.03;иноз
22226;8252 - Политология;26\5027\1 ГБ очн Политология, Б;5.41.03.04;политфак
22227;8212 - Геология;26\5018\1 ИН ДОГ очн Геология, ДОГ;1.05.03.01;иноз
22228;8214 - Картография и геоинформатика;26\5020\1 ИН ДОГ очн Картография и геоинформатика, ДОГ;1.05.03.03;иноз
22229;8252 - Политология;26\5027\1 ГБ очн Политология, ОтК;5.41.03.04;политфак
22230;8215 - Гидрометеорология;26\5021\1 ГБ очн Гидрометеорология, Б;1.05.03.04;иноз
22231;8219 - Почвоведение;26\5022\1 ИН ДОГ очн Почвоведение, ДОГ;1.06.03.02;иноз
22232;8216 - Экология и природопользование;26\5024\1 ГБ очн Экология и природопользование, ОсК;1.05.03.06;иноз
22233;8208 - Астрономия;26\5012\1 ИН ДОГ очн Астрономия, ДОГ;1.03.05.01;мм
22234;8216 - Экология и природопользование;26\5024\1 ИН ДОГ очн Экология и природопользование, ДОГ;1.05.03.06;иноз
22235;8212 - Геология;26\5018\1 ГБ очн Геология, Б;1.05.03.01;иноз
22236;8216 - Экология и природопользование;26\5024\1 ГБ очн Экология и природопользование, Б;1.05.03.06;иноз
22237;8252 - Политология;26\5027\1 ГБ очн Политология, ОсК;5.41.03.04;политфак
22238;8212 - Геология;26\5018\1 ГБ очн Геология, ОсК;1.05.03.01;иноз
22239;8215 - Гидрометеорология;26\5021\1 ГБ очн Гидрометеорология, ОтК;1.05.03.04;иноз
22240;8216 - Экология и природопользование;26\5024\1 ГБ очн Экология и природопользование, ОтК;1.05.03.06;иноз
22241;8208 - Астрономия;26\5012\1 ГБ очн Астрономия, ОтК;1.03.05.01;мм
22242;8215 - Гидрометеорология;26\5021\1 ДОГ очн Гидрометеорология, ДОГ;1.05.03.04;иноз
22243;8203 - Программирование и информационные технологии;26\5003\1 ДОГ очн Программирование и информационные технологии, ДОГ;1.02.03.02;пмпу
22244;8219 - Почвоведение;26\5022\1 ГБ очн Почвоведение, Б;1.06.03.02;иноз
22245;8212 - Геология;26\5018\1 ДОГ очн Геология, ДОГ;1.05.03.01;иноз
22246;8215 - Гидрометеорология;26\5021\1 ИН ДОГ очн Гидрометеорология, ДОГ;1.05.03.04;иноз
22247;8214 - Картография и геоинформатика;26\5020\1 ГБ очн Картография и геоинформатика, ОтК;1.05.03.03;иноз
22248;8214 - Картография и геоинформатика;26\5020\1 ДОГ очн Картография и геоинформатика, ДОГ;1.05.03.03;иноз
22249;8212 - Геология;26\5018\1 ГБ очн Геология, ОтК;1.05.03.01;иноз
22250;8252 - Политология;26\5027\1 ИН ДОГ очн Политология, ДОГ;5.41.03.04;политфак
22251;8208 - Астрономия;26\5012\1 ГБ очн Астрономия, ОсК;1.03.05.01;мм
22252;8216 - Экология и природопользование;26\5024\1 ДОГ очн Экология и природопользование, ДОГ;1.05.03.06;иноз
22253;8208 - Астрономия;26\5012\1 ДОГ очн Астрономия, ДОГ;1.03.05.01;мм
22254;8252 - Политология;26\5027\1 ДОГ очн Политология, ДОГ;5.41.03.04;политфак
22255;8219 - Почвоведение;26\5022\1 ГБ очн Почвоведение, ОсК;1.06.03.02;иноз
22256;8219 - Почвоведение;26\5022\1 ДОГ очн Почвоведение, ДОГ;1.06.03.02;иноз
22257;8215 - Гидрометеорология;26\5021\1 ГБ очн Гидрометеорология, ОсК;1.05.03.04;иноз
22258;8231 - Психология;26\5028\1 ГБ очн Психология, Б;5.37.03.01;психфак
22259;8226 - Лечебное дело;26\5058\1 ИН ДОГ очн Лечебное дело, ДОГ;3.31.05.01;мед
22260;8232 - Клиническая психология;26\5029\1 ИН ДОГ очн Клиническая психология, ДОГ;5.37.05.01;психфак
22261;8226 - Лечебное дело;26\5058\1 ГБ очн Лечебное дело, ОтК;3.31.05.01;мед
22262;8228 - Стоматология;26\5059\1 ГБ очн Стоматология, ОсК;3.31.05.03;мед
22263;8231 - Психология;26\5028\1 ДОГ очн Психология, ДОГ;5.37.03.01;психфак
22264;8231 - Психология;26\5028\1 ИН ДОГ очн Психология, ДОГ;5.37.03.01;психфак
22265;8235 - Экономика;26\5068\1 ГБ очн Экономика, ОтК;5.38.03.01;экфак
