"Id конкурса";"Обр. программы";"Комментарий к конкурсу";"Код НПС/УГСН";"Доп.параметры"
103067;"52757 - Музеология и охрана объектов культурного и природного наследия (с дополнительной квалификацией «Экскурсовод (гид)»)";"25\5324\1 ГБ очн_Музеология и охрана объектов культурного и природного наследия (с дополнительной квалификацией «Экскурсовод (гид)»)";"8.51.03.04";"философия"
103068;"52686 - Юриспруденция";"25\5031\1 ГБ очн_Юриспруденция";"5.40.03.01";"юрфак"
103069;"52699 - Технологии программирования";"25\5162\1 ГБ очн_Технологии программирования";"1.02.03.03";"мм"
103070;"52720 - Физическая культура и спорт (с дополнительной квалификацией «Специалист по фитнесу (фитнес-тренер)»)";"25\5260\1 ГБ очн_Физическая культура и спорт (с дополнительной квалификацией «Специалист по фитнесу (фитнес-тренер)»)";"7.49.03.01";"физич"
103071;"52694 - Общая и прикладная фонетика";"25\5094\1 ГБ очн_Общая и прикладная фонетика";"7.45.03.02";"филфак"
103072;"52733 - История Центральной Азии (с дополнительной квалификацией «Специалист в области перевода»)";"25\5298\1 ГБ очн_История Центральной Азии (с дополнительной квалификацией «Специалист в области перевода»)";"5.58.03.01";"восточный"
103073;"52767 - Прикладная информатика в области искусств и гуманитарных наук (с дополнительной квалификацией «Специалист по информационным системам»)";"25\5335\1 ГБ очн_Прикладная информатика в области искусств и гуманитарных наук (с дополнительной квалификацией «Специалист по информационным системам»";"2.09.03.03";"фи"
103074;"52692 - Программная инженерия";"25\5080\1 ГБ очн_Программная инженерия";"2.09.03.04";"мм"
103075;"52690 - Бизнес-информатика";"25\5071\1 ГБ очн_Бизнес-информатика";"5.38.03.05";"экфак"
103076;"52762 - Прикладные компьютерные технологии и искусственный интеллект";"25\5330\1 ГБ очн_Прикладные компьютерные технологии и искусственный интеллект";"2.27.03.03";"пмпу"
103077;"52708 - Английский язык и литература (с дополнительными квалификациями «Учитель английского языка и литературы» / «Специалист в области перевода»)";"25\5241\1 ГБ очн_Английский язык и литература (с дополнительными квалификациями «Учитель английского языка и литературы» / «Специалист в области перев";"7.45.03.01";"филфак"
103079;"52766 - Декоративно-прикладное искусство (с дополнительной квалификацией «Педагог дополнительного образования»)";"25\5334\1 ГБ очн_Декоративно-прикладное искусство (с дополнительной квалификацией «Педагог дополнительного образования»)";"8.54.03.02";"фи"
103080;"52696 - Прикладная, компьютерная и математическая лингвистика (английский язык)";"25\5106\1 ГБ очн_Прикладная, компьютерная и математическая лингвистика (английский язык)";"7.45.03.02";"филфак"
103081;"52771 - Математика (с дополнительной квалификацией «Специалист по научно-исследовательским разработкам»)";"25\5339\1 ГБ очн_Математика (с дополнительной квалификацией «Специалист по научно-исследовательским разработкам»)";"1.01.03.01";"М"
103082;"52729 - Исламоведение (с дополнительной квалификацией «Специалист в области перевода»)";"25\5294\1 ГБ очн_Исламоведение (с дополнительной квалификацией «Специалист в области перевода»)";"5.58.03.01";"восточный"
103083;"52743 - Международная журналистика (с дополнительной квалификацией «Графический дизайнер»)";"25\5308\1 ГБ очн_Международная журналистика (с дополнительной квалификацией «Графический дизайнер»)";"5.42.03.02";"журнал"
103084;"52748 - Всеобщая история (с дополнительными квалификациями «Учитель истории и обществознания» / «Педагог дополнительного образования»)";"25\5313\1 ГБ очн_Всеобщая история (с дополнительными квалификациями «Учитель истории и обществознания» / «Педагог дополнительного образования»)";"7.46.03.01";"истфак"
103085;"52782 - Управление персоналом (с дополнительной квалификацией «Консультант в области управления персоналом»)";"25\5351\1 ГБ очн_Управление персоналом (с дополнительной квалификацией «Консультант в области управления персоналом»)";"5.38.03.03";"экфак"
103086;"52776 - Социология (с дополнительной квалификацией «Социолог: специалист по фундаментальным и прикладным социологическим исследованиям»)";"25\5344\1 ГБ очн_Социология (с дополнительной квалификацией «Социолог: специалист по фундаментальным и прикладным социологическим исследованиям»)";"5.39.03.01";"соцфак"
103087;"52710 - Немецкий язык, литература и перевод (с дополнительными квалификациями «Учитель немецкого языка и литературы» / «Специалист в области перевода»)";"25\5245\1 ГБ очн_Немецкий язык, литература и перевод (с дополнительными квалификациями «Учитель немецкого языка и литературы» / «Специалист в области ";"7.45.03.01";"филфак"
103088;"52780 - Прикладные физика и математика (с дополнительной квалификацией «Программист»)";"25\5348\1 ГБ очн_Прикладные физика и математика (с дополнительной квалификацией «Программист»)";"1.03.03.01";"фф"
103089;"52787 - AI360: Математика машинного обучения";"25\5356\1 ГБ очн_AI360: Математика машинного обучения";"1.02.03.01";"AI360"
103090;"52744 - Реклама и связи с общественностью (с дополнительной квалификацией «Специалист по продвижению и распространению продукции средств массовой информации»)";"25\5309\1 ГБ очн_Реклама и связи с общественностью (с дополнительной квалификацией «Специалист по продвижению и распространению продукции средств масс";"5.42.03.01";"журнал"
103091;"52753 - Иудейская теология (с дополнительными квалификациями «Педагог дополнительного образования» / «Учитель основ религиозных культур и светской этики»)";"25\5319\1 ГБ очн_Иудейская теология (с дополнительными квалификациями «Педагог дополнительного образования» / «Учитель основ религиозных культур и све";"7.48.03.01";"тео"
103093;"52698 - Инженерно-ориентированная физика";"25\5112\1 ГБ очн_Инженерно-ориентированная физика";"1.03.03.01";"фф"
103094;"52691 - Государственное и муниципальное управление";"25\5072\1 ГБ очн_Государственное и муниципальное управление";"5.38.03.04";"менедж"
103095;"52701 - Сравнительно-историческое языкознание (английский язык)";"25\5195\1 ГБ очн_Сравнительно-историческое языкознание (английский язык)";"7.45.03.02";"филфак"
103096;"52679 - Геология";"25\5018\1 ГБ очн_Геология";"1.05.03.01";"иноз"
103097;"52697 - Экономика (с углубленным изучением экономики Китая и китайского языка)";"25\5111\1 ГБ очн_Экономика (с углубленным изучением экономики Китая и китайского языка)";"5.38.03.01";"экфак"
103098;"52678 - Программирование и информационные технологии";"25\5003\1 ГБ очн_Программирование и информационные технологии";"1.02.03.02";"пмпу"
103099;"52750 - Теория и история искусств (с дополнительной квалификацией «Экскурсовод (гид)»)";"25\5316\1 ГБ очн_Теория и история искусств (с дополнительной квалификацией «Экскурсовод (гид)»)";"8.50.03.03";"истфак"
103100;"52786 - Юриспруденция (с углубленным изучением налогового права)";"25\5355\1 ГБ очн_Юриспруденция (с углубленным изучением налогового права)";"5.40.03.01";"юрфак"
103101;"52731 - История Ирана и Афганистана (с дополнительной квалификацией «Специалист в области перевода»)";"25\5296\1 ГБ очн_История Ирана и Афганистана (с дополнительной квалификацией «Специалист в области перевода»)";"5.58.03.01";"восточный"
103102;"52734 - Китайская филология (с дополнительной квалификацией «Специалист в области перевода»)";"25\5299\1 ГБ очн_Китайская филология (с дополнительной квалификацией «Специалист в области перевода»)";"5.58.03.01";"восточный"
103103;"52707 - Туризм (с дополнительной квалификацией «Руководитель гостиничного комплекса и иных средств размещения»)";"25\5239\1 ГБ очн_Туризм (с дополнительной квалификацией «Руководитель гостиничного комплекса и иных средств размещения»)";"5.43.03.02";"иноз"
103106;"52680 - Картография и геоинформатика";"25\5020\1 ГБ очн_Картография и геоинформатика";"1.05.03.03";"иноз"
103107;"52768 - Графический дизайн (с дополнительной квалификацией «Графический дизайнер»)";"25\5336\1 ГБ очн_Графический дизайн (с дополнительной квалификацией «Графический дизайнер»)";"8.54.03.01";"фи"
103108;"52773 - Науки о данных (с дополнительной квалификацией «Специалист по большим данным»)";"25\5341\1 ГБ очн_Науки о данных (с дополнительной квалификацией «Специалист по большим данным»)";"1.02.03.01";"НОД"
103109;"52726 - Биология (с дополнительной квалификацией «Учитель биологии»)";"25\5291\1 ГБ очн_Биология (с дополнительной квалификацией «Учитель биологии»)";"1.06.03.01";"биофак"
103110;"52732 - История Кавказа (Армения) (с дополнительной квалификацией «Специалист в области перевода»)";"25\5297\1 ГБ очн_История Кавказа (Армения) (с дополнительной квалификацией «Специалист в области перевода»)";"5.58.03.01";"восточный"
103111;"52730 - История арабских стран (с дополнительной квалификацией «Специалист в области перевода»)";"25\5295\1 ГБ очн_История арабских стран (с дополнительной квалификацией «Специалист в области перевода»)";"5.58.03.01";"восточный"
103112;"52742 - Журналистика (с дополнительной квалификацией «Специалист по информационным ресурсам»)";"25\5307\1 ГБ очн_Журналистика (с дополнительной квалификацией «Специалист по информационным ресурсам»)";"5.42.03.02";"журнал"
103113;"52738 - Османистика (языки, история и культура османской Турции) (с дополнительной квалификацией «Специалист в области перевода»)";"25\5303\1 ГБ очн_Османистика (языки, история и культура османской Турции) (с дополнительной квалификацией «Специалист в области перевода»)";"5.58.03.01";"восточный"
103114;"52739 - Филология телугу (телугу, санскрит, хинди) (с дополнительной квалификацией «Специалист в области перевода»)";"25\5304\1 ГБ очн_Филология телугу (телугу, санскрит, хинди) (с дополнительной квалификацией «Специалист в области перевода»)";"5.58.03.01";"восточный"
103116;"52711 - Отечественная филология (Русский язык и литература) (с дополнительной квалификацией «Учитель русского языка и литературы»)";"25\5246\1 ГБ очн_Отечественная филология (Русский язык и литература) (с дополнительной квалификацией «Учитель русского языка и литературы»)";"7.45.03.01";"филфак"
103117;"52681 - Гидрометеорология";"25\5021\1 ГБ очн_Гидрометеорология";"1.05.03.04";"иноз"
103118;"52778 - Прикладная социология";"25\5346\1 ГБ очн_Прикладная социология";"5.39.03.01";"соцфак"
103119;"52756 - Культурология (с дополнительными квалификациями «Учитель обществознания» / «Педагог дополнительного образования»)";"25\5323\1 ГБ очн_Культурология (с дополнительными квалификациями «Учитель обществознания» / «Педагог дополнительного образования»)";"8.51.03.01";"философия"
103120;"52721 - Языки балто-славянского культурного пространства (литовский, польский и белорусский языки)";"25\5285\1 ГБ очн_Языки балто-славянского культурного пространства (литовский, польский и белорусский языки)";"7.45.03.01";"филфак"
103122;"52737 - Монгольско-тибетская филология (с дополнительной квалификацией «Специалист в области перевода»)";"25\5302\1 ГБ очн_Монгольско-тибетская филология (с дополнительной квалификацией «Специалист в области перевода»)";"5.58.03.01";"восточный"
103126;"52715 - Иностранные языки в глобальных коммуникациях (с дополнительными квалификациями «Учитель иностранного языка» / «Специалист в области перевода»)";"25\5251\1 ГБ очн_Иностранные языки в глобальных коммуникациях (с дополнительными квалификациями «Учитель иностранного языка» / «Специалист в области п";"7.45.03.02";"филфак"
103127;"52758 - Химия (с дополнительными квалификациями «Специалист в области перевода научно-технической литературы» / «Учитель химии»)";"25\5325\1 ГБ очн_Химия (с дополнительными квалификациями «Специалист в области перевода научно-технической литературы» / «Учитель химии»)";"1.04.03.01";"химфак"
103128;"52728 - Ассириология (языки, история и культура Древнего Ближнего Востока) (с дополнительной квалификацией «Специалист в области перевода»)";"25\5293\1 ГБ очн_Ассириология (языки, история и культура Древнего Ближнего Востока) (с дополнительной квалификацией «Специалист в области перевода»)";"5.58.03.01";"восточный"
103129;"52702 - Искусственный интеллект и наука о данных";"25\5212\1 ГБ очн_Искусственный интеллект и наука о данных";"2.09.03.03";"мм"
103130;"52772 - Современное программирование (с дополнительной квалификацией «Программист»)";"25\5340\1 ГБ очн_Современное программирование (с дополнительной квалификацией «Программист»)";"1.01.03.02";"СП"
103131;"52745 - Менеджмент (с дополнительной квалификацией «Бизнес-аналитик»)";"25\5310\1 ГБ очн_Менеджмент (с дополнительной квалификацией «Бизнес-аналитик»)";"5.38.03.02";"менедж"
103132;"52784 - Нефтегазовая геология";"25\5353\1 ГБ очн_Нефтегазовая геология";"2.21.03.01";"иноз"
103133;"52775 - Искусства и гуманитарные науки (с дополнительной квалификацией «Педагог дополнительного образования»)";"25\5343\1 ГБ очн_Искусства и гуманитарные науки (с дополнительной квалификацией «Педагог дополнительного образования»)";"8.50.03.01";"фсиин"
103134;"52683 - Экология и природопользование";"25\5024\1 ГБ очн_Экология и природопользование";"1.05.03.06";"иноз"
103137;"52712 - Французский язык, литература и перевод (с дополнительными квалификациями «Учитель французского языка и литературы» / «Специалист в области перевода»)";"25\5247\1 ГБ очн_Французский язык, литература и перевод (с дополнительными квалификациями «Учитель французского языка и литературы» / «Специалист в об";"7.45.03.01";"филфак"
