"Pattern";"Region"
"(адыге|майкоп)";"Адыгея"
"(башкортостан|башкир|уфа|уфи)";"Башкирия"
"(бурят|улан)";"Бурятия"
"(алта|барнаул)";"Алтай"
"(дагестан|махачк|дербент)";"Дагестан"
"(ингушет|магас|назран)";"Ингушетия"
"(кабардин|балкар|нальчик)";"Кабардино-Балкарская республика"
"(калмык|элист)";"Калмыкия"
"(карачаев|черкес)";"Карачаево-Черкесская республика"
"(карел|петрозавод)";"Карелия"
"(коми|сыктывкар)";"Коми"
"(марий|йошкар)";"Марий Эл"
"(мордов|саранск)";"Мордовия"
"(осет|владикавказ)";"Осетия"
"(татарстан|казань| казани)";"Казань"
"(тыва|кызыл)";"Тыва"
"(удмурт|ижевск)";"Удмуртия"
"(хакас|абакан)";"Хакасия"
"(чечн|чеченск|грозн)";"Чечня"
"(чуваш|чебоксар)";"Чувашия"
"(краснодар)";"Краснодар"
"(красноярск)";"Красноярск"
"(приморск.. кр|приморско.. кр|владивосток)";"Владивосток"
"(ставропольскому краю|ставрополю)";"Ставрополь"
"(хабаровск)";"Хабаровск"
"( амур|благовещен)";"Амур"
"(архангел)";"Архангельск"
"(астрах)";"Астрахань"
"(белгород)";"Белгород"
"(брянск)";"Брянск"
"(владимир)";"Владимир"
"(волгоград)";"Сталинград"
"(вологод|вологд|черепов)";"Вологда"
"(воронеж)";"Воронеж"
"(иванов)";"Иваново"
"(иркутск)";"Иркутск"
"(калининград)";"Калининград"
"(калуж|калуг)";"Калуга"
"(камчат|петропавловск)";"Петропавловск"
"(кирову|кировской)";"Киров"
"(костром)";"Кострома"
"(курган)";"Курган"
"(курск)";"Курск"
"(липецк)";"Липецк"
"(магад)";"Магадан"
"(московской|балаших|красногорск)";"МО"
"(москв)";"Москва"
"(мурман)";"Мурманск"
"(нижегородской|нижн.. нов|нижне.. нов|ниж.обл.)";"Горький"
"(по новгор|новгородск)";"Новгород"
"(новосиб)";"Новониколаевск"
"(по омск)";"Омск"
"(оренб)";"Оренбург"
"(орлов)";"Орлов"
"(пенз)";"Пенза"
"(перм)";"Пермь"
"(псков)";"Псков"
"(ростов)";"Ростов"
"(рязан)";"Рязань"
"(самар)";"Куйбышев"
"(сарат)";"Саратов"
"(сахалин)";"Сахалин"
"(ке саха|якут)";"Якутия"
"(свердловской|екатеринб)";"Екатеринбург"
"(смолен)";"Смоленск"
"(тамбов)";"Тамбов"
"(твер)";"Тверь"
"(томску|томской)";"Томск"
"(тул)";"Тула"
"(тюмен)";"Тюмень"
"(ульянов)";"Ульянов"
"(челяб)";"Челябинск"
"(байкал|чит)";"Забайкалье"
"(ярославской|ярославлю)";"Ярославль"
"(санкт|петербур|ленинград|гатчин|мурин|спб)";"СПБ и ЛО"
"(еврей|биробид)";"Биробиджан"
"(чукот|анадыр)";"Чукотка"
"(крым|симфероп)";"Крым"
"(севастоп)";"Севастополь"
"(байконур)";"Байконур"
"(ямал|ненец|нарьян|салехард|уренго|по нао|по янао)";"Ямало-Ненецкий ао"
"(югр|хант|манси|сургут)";"Ханты-Мансийский ао"
"(запорож|мелитополь)";"Запорожье"
"(донец|днр)";"Донецк"
"(луганс|лнр)";"Луганск"
"(херсон)";"Херсон"
"(кемеров|кузбасс|новокузн)";"Кемерово"
