"School"
"Государственное бюджетное общеобразовательное учреждение “Белгородская коррекционная общеобразовательная школа-интернат № 23” (308036, Белгородская область, г. Белгород, ул. Буденного, д. 4)"
"Государственное бюджетное общеобразовательное учреждение “Валуйская общеобразовательная школа-интернат” (309996, Белгородская область, Валуйский район, г. Валуйки, ул. 1 Мая, д. 27)"
"Государственное бюджетное общеобразовательное учреждение “Шебекинская гимназия-интернат” (309292, Белгородская область, м.о. Шебекинский, г. Шебекино, ул. Ленина, д. 91В)"
"Государственное бюджетное общеобразовательное учреждение школа- интернат “Белгородский инженерный юношеский лицей-интернат” (308027, Белгородская область, г. Белгород, ул. Апанасенко, д. 51 “А”)"
"Государственное бюджетное общеобразовательное учреждение школа- интернат “Валуйская общеобразовательная школа-интернат № 1” (309996, Белгородская область, Валуйский район, г. Валуйки, ул. Тимирязева, д. 92)"
"Государственное казенное общеобразовательное учреждение “Белгородская вечерняя (сменная) общеобразовательная школа” (308026, Белгородская область, г. Белгород, ул. Волчанская, д. 286)"
"Государственное казенное общеобразовательное учреждение “Валуйская вечерняя (сменная) общеобразовательная школа” (309996, Белгородская область, Валуйский район, г. Валуйки, ул. Тимирязева, д. 1)"
"Муниципальное автономное общеобразовательное учреждение “Центр образования № 1” г. Белгорода имени Героя Российской Федерации Антона Геннадьевича Копейкина (308001, Белгородская область, г. о. город Белгород, г. Белгород, ул. Николая Чумичова, д. 53А)"
"Муниципальное бюджетное общеобразовательное учреждение “Афоньевская основная общеобразовательная школа Волоконовского муниципального округа Белгородской области” (309677, Белгородская область, Волоконовский район, с. Афоньевка, ул. Подгорная, д. 57)"
"Муниципальное бюджетное общеобразовательное учреждение “Белоколодезянская средняя общеобразовательная школа имени В.А. Данкова Шебекинского муниципального округа Белгородской области” (309285, Белгородская область, м.о. Шебекинский, с. Белый Колодезь, ул. Пионерская, д. 21)"
"Муниципальное бюджетное общеобразовательное учреждение “Белянская средняя общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309273, Белгородская область, м.о. Шебекинский, с. Белянка, ул. Школьная, д. 15)"
"Муниципальное бюджетное общеобразовательное учреждение “Березовская средняя общеобразовательная школа имени С.Н. Климова” (309366, Белгородская область, м.о. Борисовский, с. Березовка, ул. Советская, д. 14)"
"Муниципальное бюджетное общеобразовательное учреждение “Большегородищенская средняя общеобразовательная школа имени Героя Советского Союза Н.Г. Сурнева Шебекинского муниципального округа Белгородской области” (309265, Белгородская область, м.о. Шебекинский, с. Большое Городище, ул. Советская, д. 3)"
"Муниципальное бюджетное общеобразовательное учреждение “Большетроицкая средняя общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309280, Белгородская область, м.о. Шебекинский, с. Большетроицкое, пер. Чапаева, зд. 11)"
"Муниципальное бюджетное общеобразовательное учреждение “Борисовская основная общеобразовательная школа Волоконовского муниципального округа Белгородской области” (309675, Белгородская область, Волоконовский район, с. Борисовка, ул. Садовая, д. 2, стр. 1)"
"Муниципальное бюджетное общеобразовательное учреждение “Борисовская основная общеобразовательная школа № 4” (309340, Белгородская область, м.о. Борисовский, п. Борисовка, ул. Грайворонская, д. 229)"
"Муниципальное бюджетное общеобразовательное учреждение “Борисовская средняя общеобразовательная школа № 2” (309340, Белгородская область, м.о. Борисовский, п. Борисовка, ул. Советская, д. 67)"
"Муниципальное бюджетное общеобразовательное учреждение “Булановская основная общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309284, Белгородская область, м.о. Шебекинский, с. Булановка, ул. Ленина, д. 63)"
"Муниципальное бюджетное общеобразовательное учреждение “Верхнеберезовская основная общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309286, Белгородская область, м.о. Шебекинский, с. Верхнеберезово, ул. Кооперативная, зд. 37)"
"Муниципальное бюджетное общеобразовательное учреждение “Вознесеновская средняя общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309259, Белгородская область, м.о. Шебекинский, с. Вознесеновка, ул. Административная, зд. 1)"
"Муниципальное бюджетное общеобразовательное учреждение “Волоконовская средняя общеобразовательная школа № 1 Волоконовского муниципального округа Белгородской области” (309650, Белгородская область, Волоконовский район, п. Волоконовка, ул. Пионерская, д. 20)"
"Муниципальное бюджетное общеобразовательное учреждение “Волоконовская средняя общеобразовательная школа № 2 имени Героя Советского Союза генерал-майора И.С. Лазаренко Волоконовского муниципального округа Белгородской области” (309651, Белгородская область, Волоконовский район, п. Волоконовка, ул. Коммунистическая)"
"Муниципальное бюджетное общеобразовательное учреждение “Волчье- Александровская средняя общеобразовательная школа имени Героя Советского Союза Калинина Н.Н. Волоконовского муниципального округа Белгородской области” (309672, Белгородская область, Волоконовский район, с. Волчья Александровка, ул. Центральная, д. 6)"
"Муниципальное бюджетное общеобразовательное учреждение “Гимназия № 2” г. Белгорода (308000, Белгородская область, г. Белгород, ул. Некрасова, д. 19)"
"Муниципальное бюджетное общеобразовательное учреждение “Гимназия № 3” г. Белгорода (308031, Белгородская область, г. о. город Белгород, г. Белгород, ул. Есенина, д. 40А)"
"Муниципальное бюджетное общеобразовательное учреждение “Гимназия № 5” г. Белгорода (308000, Белгородская область, г. Белгород, ул. Победы, д. 40-А)"
"Муниципальное бюджетное общеобразовательное учреждение “Гимназия № 12” г. Белгорода им. Ф.С. Хихлушки (308014, Белгородская область, г. Белгород, ул. Хихлушки, д. 4)"
"Муниципальное бюджетное общеобразовательное учреждение “Гимназия № 22” г. Белгорода (308004, Белгородская область, г. Белгород, б-р Юности, д. 14)"
"Муниципальное бюджетное общеобразовательное учреждение “Головчинская средняя общеобразовательная школа с углубленным изучением отдельных предметов” Грайворонского района Белгородской области (309377, Белгородская область, Грайворонский район, с. Головчино, ул. Смирнова, д. 2)"
"Муниципальное бюджетное общеобразовательное учреждение “Голофеевская основная общеобразовательная школа Волоконовского муниципального округа Белгородской области” (309668, Белгородская область, Волоконовский район, с. Голофеевка, ул. Центральная, д. 63)"
"Муниципальное бюджетное общеобразовательное учреждение “Гора-Подольская средняя общеобразовательная школа” Грайворонского района Белгородской области (309382, Белгородская область, Грайворонский район, с. Гора-Подол, ул. Борисенко, д. 48Е)"
"Муниципальное бюджетное общеобразовательное учреждение “Горьковская основная общеобразовательная школа” Грайворонского района Белгородской области (309387, Белгородская область, Грайворонский район, п. Горьковский, ул. Молодежная, д. 2)"
"Муниципальное бюджетное общеобразовательное учреждение “Графовская средняя общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309277, Белгородская область, м.о. Шебекинский, с. Графовка, ул. Центральная, д. 1А)"
"Муниципальное бюджетное общеобразовательное учреждение “Грузсчанская средняя общеобразовательная школа” (309361, Белгородская область, м.о. Борисовский, с. Грузское, ул. Центральная, дщ. 7)"
"Муниципальное бюджетное общеобразовательное учреждение “Грушевская основная общеобразовательная школа Волоконовского муниципального округа Белгородской области” (309674, Белгородская область, Волоконовский район, с. Грушевка, ул. Центральная, д. 44А)"
"Муниципальное бюджетное общеобразовательное учреждение “Дмитриевская основная общеобразовательная школа имени Героя Советского Союза И.Н. Озерова Шебекинского муниципального округа Белгородской области” (309262, Белгородская область, м.о. Шебекинский, с. Дмитриевка, ул. Победы, д. 38)"
"Муниципальное бюджетное общеобразовательное учреждение “Добросельская основная общеобразовательная школа” Грайворонского района Белгородской области (309385, Белгородская область, Грайворонский район, с. Доброе, ул. Грайворонская, зд. 18А)"
"Муниципальное бюджетное общеобразовательное учреждение “Дорогощанская средняя общеобразовательная школа” Грайворонского района Белгородской области (309390, Белгородская область, Грайворонский район, с. Дорогощь, пер. Первомайский, д. 1)"
"Муниципальное бюджетное общеобразовательное учреждение “Дунайская основная общеобразовательная школа им. А .Я. Волобуева” Грайворонского района Белгородской области (309391, Белгородская область, Грайворонский район, с. Дунайка, ул. Школьная, д. 19)"
"Муниципальное бюджетное общеобразовательное учреждение “Зимовская основная общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309289, Белгородская область, м.о. Шебекинский, с. Зимовное, ул. Серпа и Молота, д. 59)"
"Муниципальное бюджетное общеобразовательное учреждение “Ивано-Лисичанская средняя общеобразовательная школа” Грайворонского района Белгородской области (309397, Белгородская область, Грайворонский район, с. Ивановская Лисица, ул. Комсомольская, д. 24)"
"Муниципальное бюджетное общеобразовательное учреждение “Козинская средняя общеобразовательная школа” Грайворонского района Белгородской области (309384, Белгородская область, Грайворонский район, с. Козинка, ул. Центральная, д. 18)"
"Муниципальное бюджетное общеобразовательное учреждение “Козьмодемьяновская основная общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309272, Белгородская область, м.о. Шебекинский, с. Козьмодемьяновка, ул. Школьная, д. 13)"
"Муниципальное бюджетное общеобразовательное учреждение “Косиловская основная общеобразовательная школа” Грайворонского района Белгородской области (309396, Белгородская область, Грайворонский район, с. Косилово, ул. Горянка, д. 30)"
"Муниципальное бюджетное общеобразовательное учреждение “Кошлаковская основная общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309252, Белгородская область, м.о. Шебекинский, с. Кошлаково, ул. Молодежная, д. 8Б)"
"Муниципальное бюджетное общеобразовательное учреждение “Крапивенская основная общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309267, Белгородская область, м.о. Шебекинский, с. Крапивное, ул. Школьная, д. 25А)"
"Муниципальное бюджетное общеобразовательное учреждение “Красноалександровская основная общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309258, Белгородская область, м.о. Шебекинский, с. Александровка, ул. Степная, д. 64)"
"Муниципальное бюджетное общеобразовательное учреждение “Краснополянская основная общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309288, Белгородская область, м.о. Шебекинский, с. Красная Поляна, ул. Гагарина, д. 110А)"
"Муниципальное бюджетное общеобразовательное учреждение “Крюковская средняя общеобразовательная школа” (309369, Белгородская область, м.о. Борисовский, с. Крюково, ул. Ленина, д. 11)"
"Муниципальное бюджетное общеобразовательное учреждение “Купинская средняя общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309263, Белгородская область, м.о. Шебекинский, с. Купино, пер. Анатовского, д. 5)"
"Муниципальное бюджетное общеобразовательное учреждение “Лицей № 10” г. Белгорода (308024, Белгородская область, г. Белгород, ул. Мокроусова, д. ЗА)"
"Муниципальное бюджетное общеобразовательное учреждение “Лицей № 32” г. Белгорода (308000, Белгородская область, г. Белгород, ул. Мичурина, д. 39)"
"Муниципальное бюджетное общеобразовательное учреждение “Максимовская средняя общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309281, Белгородская область, м.о. Шебекинский, с. Максимовка, ул. Комсомольская, зд. 28)"
"Муниципальное бюджетное общеобразовательное учреждение “Маломихайловская основная общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309270, Белгородская область, м.о. Шебекинский, с. Маломихайловка, ул. Королева, зд. 28А)"
